     X         dX           Y        dY
    0.9511    0.02448    -2.4141    0.00482 
    0.4277    0.08170    -3.2534    0.03329 
   -0.0656    0.25439    -3.3349    0.04016 
   -0.0045    0.22099    -4.4053    0.47227 
   -0.3040    0.44052    -4.4183    0.48669 
   -0.0231    0.23069    -3.4583    0.05336 
    0.5215    0.06583    -3.1413    0.02572 
    0.6434    0.04972    -3.0051    0.01879 
    0.6874    0.04493    -3.0285    0.01984 
    0.9229    0.02612    -2.3931    0.00459 
    1.1891    0.01415    -2.0237    0.00196 
    0.8880    0.02831    -2.5569    0.00670 
    0.8870    0.02838    -2.7712    0.01097 
    1.1298    0.01622    -1.9894    0.00181 
    1.1433    0.01573    -1.6071    0.00075 
    0.7473    0.03914    -2.3769    0.00442 
    0.7183    0.04184    -3.3107    0.03799 
    0.3781    0.09159    -3.4065    0.04736 
    0.4623    0.07544    -3.4633    0.05399 
    0.4708    0.07398    -2.9392    0.01615 
    0.6782    0.04589    -2.3482    0.00414 
   -0.1701    0.32358    -3.2531    0.03327 
    0.3857    0.08999    -3.1943    0.02906 
   -0.1220    0.28970    -3.1757    0.02784 
   -0.2082    0.35326    -4.8539    1.32694 
    0.4630    0.07533    -3.4553    0.05299 
    0.5915    0.05603    -2.7173    0.00969 
    0.3149    0.10594    -2.8729    0.01386 
    0.0085    0.21449    -2.9271    0.01570 
    0.1674    0.14878    -2.9895    0.01813 
    0.7443    0.03942    -2.6728    0.00874 
    0.2836    0.11384    -3.1303    0.02507 
    0.3958    0.08793    -3.0851    0.02260 
    0.2671    0.11826    -3.0424    0.02048 
    0.0283    0.20495    -2.9057    0.01495 
    0.4206    0.08305    -2.9615    0.01700 
    0.5853    0.05683    -3.2251    0.03119 
    0.3806    0.09106    -3.4998    0.05871 
    0.5357    0.06371    -2.6689    0.00867 
    0.6151    0.05307    -2.5976    0.00735 
    0.1626    0.15042    -3.5265    0.06244 
    0.2528    0.12222    -3.0547    0.02107 
    0.1897    0.14134    -3.3906    0.04566 
    0.3496    0.09779    -4.8879    1.43487 
   -0.0645    0.25379    -4.6981    0.92683 
    0.3612    0.09522    -3.4838    0.05659 
   -0.9968    2.17150    -3.0467    0.02068 
   -0.0472    0.24386    -3.0952    0.02313 
    0.2255    0.13015    -3.5682    0.06873 
    0.3457    0.09868    -3.5050    0.05942 
    0.2921    0.11165    -4.1380    0.25523 
    0.0332    0.20262    -3.6631    0.08551 
    0.5366    0.06357    -2.7787    0.01116 
    0.4174    0.08366    -3.0635    0.02150 
    0.3400    0.09998    -2.7301    0.00998 
    0.5409    0.06296    -3.0062    0.01884 
   -0.4948    0.68349    -3.4049    0.04719 
    0.1139    0.16826    -3.5255    0.06229 
   -0.7069    1.11389    -3.4439    0.05162 
    0.0383    0.20025    -3.5353    0.06371 
   -0.4641    0.63681    -4.4085    0.47579 
    0.2139    0.13366    -3.5317    0.06319 
   -0.0502    0.24551    -3.6843    0.08978 
   -0.2836    0.42030    -2.7222    0.00980 
    0.3602    0.09544    -3.2464    0.03276 
    0.2513    0.12264    -2.9487    0.01651 
    0.7122    0.04243    -2.0988    0.00233 
   -0.8647    1.60200    -2.9281    0.01574 
    0.1321    0.16136    -3.9867    0.18014 
   -1.0216    2.29869    -4.1401    0.25644 
   -0.9492    1.94573    -3.8756    0.13948 
    0.2055    0.13629    -3.7169    0.09679 
    0.4083    0.08543    -3.6844    0.08982 
    0.4661    0.07478    -5.1753    2.78104 
    0.4239    0.08242    -4.6664    0.86175 
   -0.8395    1.51161    -4.3802    0.44577 
   -0.0318    0.23536    -3.8090    0.11965 
   -0.5289    0.73935    -2.8443    0.01298 
    0.5903    0.05619    -2.6002    0.00740 
   -0.4291    0.58751    -2.7411    0.01023 
    0.3580    0.09593    -3.7759    0.11087 
    0.1012    0.17326    -3.7697    0.10931 
    0.0380    0.20039    -3.6849    0.08992 
    0.0506    0.19468    -3.8487    0.13111 
   -0.3381    0.47642    -4.7340    1.00667 
    0.3939    0.08832    -3.4301    0.05000 
    0.0389    0.20000    -3.3925    0.04586 
    0.2357    0.12713    -4.0137    0.19169 
   -0.4182    0.57296    -2.9250    0.01563 
   -0.1116    0.28284    -3.5282    0.06269 
    0.3015    0.10926    -3.8281    0.12503 
   -0.2016    0.34793    -5.4091    4.76469 
   -0.5143    0.71480    -3.7363    0.10122 
    0.2522    0.12237    -3.8097    0.11986 
    0.1360    0.15992    -3.7370    0.10138 
    0.2110    0.13456    -3.9136    0.15224 
    0.5490    0.06179    -3.5815    0.07087 
    0.1717    0.14732    -3.7419    0.10254 
    0.1901    0.14119    -3.9670    0.17215 
   -1.4173    5.71731    -3.6895    0.09086 
   -0.1169    0.28630    -3.9787    0.17686 
    0.1427    0.15748    -3.8009    0.11746 
    0.4746    0.07333    -4.0429    0.20506 
    0.3704    0.09322    -3.4617    0.05378 
   -0.0370    0.23820    -4.2519    0.33175 
   -0.2034    0.34937    -4.0527    0.20971 
    0.8359    0.03192    -4.1509    0.26293 
    0.2610    0.11994    -4.0763    0.22140 
    0.5557    0.06084    -3.3107    0.03799 
    0.7226    0.04143    -4.4745    0.55392 
